event_id,source,event_title,event_date,state,location_description,latitude,longitude,landslide_category,landslide_trigger,fatalities,injuries,inside_ne_polygon,susceptibility_probability,susceptibility_class_num,susceptibility_class_name
NASA_GLC_1055,NASA_GLC,"Kerseong, West Bengal ",07/22/2009 12:00:00 AM,Bengal,"Kerseong, West Bengal ",26.8826,88.2788,landslide,downpour,0,0,False,,,Unclassified
NASA_GLC_1054,NASA_GLC,"Gayabari,  West Bengal ",07/22/2009 12:00:00 AM,Bengal,"Gayabari,  West Bengal ",26.8572,88.3143,landslide,downpour,0,0,False,,,Unclassified
NASA_GLC_1061,NASA_GLC,Bridge destroyed at 4th Mile,07-01-2009 05:40,nan,"4th Mile, Lower Mangshila in North Sikkim",27.478,88.527,landslide,downpour,0,0,True,0.9749,5.0,Very High (80-100%)
NASA_GLC_2164,NASA_GLC,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",07/29/2010 11:00:00 PM,Manipur,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.3098633,94.48214677,landslide,downpour,0,0,True,0.9341,5.0,Very High (80-100%)
NASA_GLC_9965,NASA_GLC,Landslide in Nagaland,09-05-2016 18:04,nan,"Mokochung, Nagaland, India",26.324724,94.514651,landslide,rain,0,0,True,0.9846,5.0,Very High (80-100%)
NASA_GLC_9853,NASA_GLC,Landslide in Dzongu,08/16/2016 07:22:00 PM,nan,"Dzongu, Sikkim, India",27.593,88.492,landslide,rain,0,0,True,0.8684,5.0,Very High (80-100%)
NASA_GLC_4569,NASA_GLC,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",09/19/2012 12:00:00 AM,nan,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",27.8385,88.556,landslide,downpour,20,0,True,0.9479,5.0,Very High (80-100%)
NASA_GLC_4571,NASA_GLC," Chungthang and Pegong. Houses, between Rangma and Chungthang ",09/19/2012 12:00:00 AM,nan," Chungthang and Pegong. Houses, between Rangma and Chungthang ",27.6558,88.605,landslide,downpour,0,0,True,0.966,5.0,Very High (80-100%)
NASA_GLC_9966,NASA_GLC,Landslide in Wokha-Merapani Road,09-05-2016 18:04,nan,"Wokha, India",26.092493,94.257523,landslide,rain,0,0,True,0.9857,5.0,Very High (80-100%)
NASA_GLC_5122,NASA_GLC,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",07/17/2013 12:00:00 AM,Nāgāland,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",25.7658,93.9413,mudslide,rain,0,0,True,0.7361,4.0,High (60-80%)
NASA_GLC_5123,NASA_GLC,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",07/17/2013 12:00:00 AM,Nāgāland,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885,mudslide,rain,0,0,True,0.9628,5.0,Very High (80-100%)
NASA_GLC_9943,NASA_GLC,5 landslides hit port of Chittagong,06/13/2017 03:17:00 PM,nan,"Chittagong, Bangladesh",22.35037081,91.83258101,landslide,continuous_rain,33,0,False,,,Unclassified
NASA_GLC_9984,NASA_GLC,Landslide along Wokha-Merapani road,07-01-2017 16:00,nan,"Wokha Sadar Sub-District, Wokha, Nagaland",26.1445447,94.24416766,landslide,downpour,0,0,True,0.8719,5.0,Very High (80-100%)
NASA_GLC_9940,NASA_GLC,Landslide in Panikhaiti kills girl,07-03-2017 15:17,nan,"Panikhaiti, Kamrup Metropolitan, Assam State, India",26.20450454,91.87202793,landslide,continuous_rain,1,0,True,0.1262,1.0,Very Low (0-20%)
NASA_GLC_9941,NASA_GLC,Landslide blocks road,07-02-2017 15:17,nan,"Deppochhari (??), Rangamati Hill District, Bangladesh",22.77997113,92.03513581,landslide,continuous_rain,0,0,False,,,Unclassified
NASA_GLC_9974,NASA_GLC,Landslide blocks road,07-04-2017 16:00,nan,"AH1, Mao-Maram, Senapati, Manipur, 795150",25.4976444,94.12901274,landslide,continuous_rain,0,0,True,0.9858,5.0,Very High (80-100%)
NASA_GLC_9972,NASA_GLC,Fatal landslide in Chandrapur,07-03-2017 16:00,nan,"Chandrapur, Kamrup Metropolitan, Assam",26.22247247,91.92053028,landslide,continuous_rain,1,0,True,0.1268,1.0,Very Low (0-20%)
