station_id,name,state,corridor,elevation_m,latitude,longitude,timestamp,temperature_c,relative_humidity_pct,current_precip_rate_mm_hr,wind_speed_kmh,weather_code,past_24h_rainfall_mm,past_48h_rainfall_mm,past_72h_rainfall_mm,forecast_next_24h_mm,antecedent_rainfall_index,rainfall_hazard_level,dynamic_risk_multiplier
NER_AS_01,Guwahati,Assam,NH-27 / Hub,55,26.1445,91.7362,2026-09-05T19:24:27.003768+00:00,25.7,98,0.2,2.5,53,9.0,17.1,31.0,5.6,16.53,MODERATE,1.3
NER_AS_02,Silchar,Assam,Barak Valley / NH-37,25,24.8333,92.7789,2026-09-05T19:24:27.003768+00:00,24.9,98,0.8,7.8,95,20.4,25.7,47.6,18.6,28.52,MODERATE,1.3
NER_AS_03,Dibrugarh,Assam,Upper Assam / NH-15,108,27.4728,94.912,2026-09-05T19:24:27.003768+00:00,25.9,97,0.1,5.7,51,12.0,36.4,37.4,8.3,24.45,MODERATE,1.3
NER_AS_04,Tezpur,Assam,North Bank / NH-15,48,26.6528,92.7926,2026-09-05T19:24:27.003768+00:00,26.3,97,0.8,6.0,96,21.3,27.8,29.7,19.4,25.03,MODERATE,1.3
NER_AS_05,Jorhat,Assam,Central Assam / NH-715,116,26.7509,94.2037,2026-09-05T19:24:27.003768+00:00,26.5,99,0.1,3.6,51,23.5,34.9,49.3,44.3,32.8,MODERATE,1.3
NER_AS_06,Haflong,Assam,Dima Hasao Hill Highway / NH-27,968,25.1764,93.0183,2026-09-05T19:24:27.003768+00:00,22.8,93,0.5,10.2,80,0.3,5.0,16.3,2.6,5.48,NORMAL,1.0
NER_AS_07,Bongaigaon,Assam,Lower Assam / NH-27,54,26.5024,90.5532,2026-09-05T19:24:27.003768+00:00,25.0,98,0.3,9.6,55,9.0,12.6,12.6,7.4,10.8,NORMAL,1.0
NER_AS_08,Diphu,Assam,Karbi Anglong / NH-329,186,25.8436,93.4312,2026-09-05T19:24:27.003768+00:00,26.1,95,0.0,3.1,2,12.1,14.2,18.7,5.8,14.28,NORMAL,1.0
NER_AR_01,Itanagar,Arunachal Pradesh,Capital / NH-415,320,27.0844,93.6053,2026-09-05T19:24:27.003768+00:00,24.6,98,0.0,1.8,2,21.0,26.7,27.7,16.8,24.1,MODERATE,1.3
NER_AR_02,Tawang,Arunachal Pradesh,Sela Pass Corridor / NH-13,3048,27.5861,91.8653,2026-09-05T19:24:27.003768+00:00,11.9,98,0.0,0.3,3,1.8,3.5,7.4,3.5,3.62,NORMAL,1.0
NER_AR_03,Bomdila,Arunachal Pradesh,West Kameng / NH-13,2217,27.2645,92.4208,2026-09-05T19:24:27.003768+00:00,15.2,100,0.0,1.0,3,13.7,32.2,35.7,5.3,23.82,MODERATE,1.3
NER_AR_04,Pasighat,Arunachal Pradesh,Siang Valley / NH-515,153,28.0664,95.3267,2026-09-05T19:24:27.003768+00:00,25.7,92,0.0,0.9,2,9.0,28.2,28.2,11.9,18.6,MODERATE,1.3
NER_AR_05,Ziro,Arunachal Pradesh,Subansiri / NH-13,1572,27.545,93.834,2026-09-05T19:24:27.003768+00:00,18.1,93,0.0,0.8,3,10.3,19.8,38.0,14.4,19.6,MODERATE,1.3
NER_AR_06,Tezu,Arunachal Pradesh,Lohit / NH-13,210,27.9167,96.1667,2026-09-05T19:24:27.003768+00:00,25.1,94,0.0,0.4,1,13.1,28.6,28.7,8.7,20.88,MODERATE,1.3
NER_AR_07,Aalo (Along),Arunachal Pradesh,West Siang / Trans-Arunachal,619,28.1694,94.8028,2026-09-05T19:24:27.003768+00:00,24.6,98,0.0,0.6,2,5.4,13.8,15.4,14.2,10.0,NORMAL,1.0
NER_ML_01,Shillong,Meghalaya,Khasi Hills / NH-6,1525,25.5788,91.8933,2026-09-05T19:24:27.003768+00:00,19.0,95,0.0,4.0,3,1.7,16.9,20.5,1.9,10.2,NORMAL,1.0
NER_ML_02,Cherrapunji (Sohra),Meghalaya,Heavy Rain Zone / SH-5,1484,25.27,91.73,2026-09-05T19:24:27.003768+00:00,19.1,98,0.0,1.3,3,14.1,26.5,50.7,3.0,26.35,MODERATE,1.3
NER_ML_03,Jowai,Meghalaya,Jaintia Hills / NH-6,1380,25.4464,92.1994,2026-09-05T19:24:27.003768+00:00,19.0,100,0.1,5.2,51,2.2,10.3,13.6,1.7,7.08,NORMAL,1.0
NER_ML_04,Tura,Meghalaya,Garo Hills / NH-217,349,25.5144,90.2032,2026-09-05T19:24:27.003768+00:00,25.0,89,0.0,8.8,3,4.0,11.0,15.9,0.3,8.72,NORMAL,1.0
NER_ML_05,Nongstoin,Meghalaya,West Khasi / NH-106,1409,25.5167,91.2667,2026-09-05T19:24:27.003768+00:00,19.6,99,0.2,4.6,53,2.6,14.5,26.1,3.1,11.45,NORMAL,1.0
