segment_id,risk_score,risk_level
22826704,0.33893007,medium
22826705,0.26957834,low
22826716,0.82225126,high
22826736,0.39226598,medium
22826738,0.70183694,medium
22826741,0.76003,high
22826743,0.19982839,low
22826786,0.3672705,medium
22826807,0.16261613,low
22826816,0.5403917,medium
22826837,0.11509085,low
22826852,0.43727392,medium
22826856,0.55133337,medium
22826874,0.82697487,high
22826880,0.2479141,low
22826895,0.2630888,low
22826899,0.5373833,medium
22826901,0.15362091,low
22826908,0.50289714,medium
22827106,0.23028247,low
22827110,0.3403896,medium
22827112,0.026505556,low
22827116,0.5888758,medium
22827160,0.5333371,medium
22827180,0.2667646,low
22827188,0.10168118,low
22832855,0.7269248,high
22832869,0.0061652716,low
22832875,0.6891683,medium
22832879,0.78630435,high
22832880,0.8746459,high
22832890,0.002948469,low
22832892,0.038520347,low
22832893,0.8293574,high
22832896,0.74494267,high
22832897,0.003961779,low
22832900,0.0016985153,low
22832904,0.7118108,high
22832927,0.10403225,low
22832928,0.17028847,low
22832931,0.0023013242,low
22832948,0.0035344954,low
22832949,0.107687056,low
22832965,0.10831885,low
22832979,0.006804395,low
22832980,0.0021027806,low
22832982,0.0051198634,low
22832983,0.004231021,low
22832990,0.40380827,medium
22832998,0.024409676,low
22833001,0.07751045,low
22833053,0.0068231146,low
22833070,0.7636544,high
22833117,0.04060787,low
22833171,0.021635475,low
22833185,0.5921674,medium
22833202,0.09782596,low
22833215,0.08564514,low
22833227,0.08759499,low
28889278,0.104322456,low
28889306,0.036369454,low
29032754,0.030825261,low
29278146,0.08651967,low
32027419,0.03683171,low
35800877,0.0038372723,low
35800879,0.0035809693,low
38719482,0.099040516,low
38892203,0.012007843,low
38892204,0.0045191296,low
44638618,0.85217726,high
44638677,0.41285592,medium
44638799,0.8713485,high
44638826,0.5572826,medium
44639059,0.38729972,medium
44639138,0.8944253,high
44639139,0.5726784,medium
44639254,0.6542062,medium
44639284,0.40038735,medium
44639607,0.7154192,high
44639622,0.86850566,high
44639797,0.8885437,high
44639823,0.9098587,high
44639845,0.72507423,high
44639846,0.6073237,medium
44639859,0.8472448,high
44641071,0.44947448,medium
44641072,0.33895457,medium
44641091,0.42189986,medium
44641101,0.36796615,medium
44641105,0.40709913,medium
44641120,0.3353478,medium
44641131,0.8142209,high
44641140,0.09805859,low
44641222,0.07034662,low
44641257,0.3348033,medium
44642944,0.5203869,medium
44643002,0.43019563,medium
44643106,0.59434026,medium
44643131,0.5139759,medium
44643152,0.9131341,high
44643275,0.86908,high
44643283,0.7775131,high
44643353,0.81747824,high
44643354,0.90107334,high
44643380,0.8757248,high
44643397,0.8308393,high
44643404,0.50112945,medium
44643572,0.841932,high
44644201,0.10783959,low
44644259,0.86210877,high
44644278,0.90475374,high
44644279,0.5618701,medium
44644280,0.89599174,high
44644337,0.7174519,high
44644341,0.65203846,medium
44644363,0.8992892,high
44644445,0.50470716,medium
44644447,0.5604289,medium
44644449,0.5632941,medium
44644455,0.54641294,medium
44644556,0.89437723,high
44644560,0.89567506,high
44644584,0.5291394,medium
44644633,0.8940265,high
44645090,0.030330602,low
44645091,0.033165067,low
44645092,0.19771238,low
44645096,0.26083815,low
44645097,0.036185183,low
44645149,0.545345,medium
44645504,0.2290094,low
44645516,0.42686167,medium
44645517,0.82966465,high
44645518,0.6046737,medium
44645573,0.68594086,medium
44645698,0.32551366,medium
44645792,0.032108176,low
44645794,0.039269418,low
44645880,0.07717123,low
44719023,0.16132729,low
44719025,0.010236624,low
44719026,0.010506843,low
44719027,0.015994942,low
44719028,0.0121337315,low
44719030,0.011460189,low
44719031,0.007991471,low
44719353,0.0058451924,low
44719366,0.018368237,low
44719719,0.014337218,low
44719721,0.036339477,low
44720068,0.0061513796,low
44721304,0.011198594,low
44721355,0.043890536,low
44721365,0.14918333,low
44721415,0.022569833,low
44721457,0.577369,medium
44721466,0.44318873,medium
44721584,0.8708317,high
44721718,0.009644208,low
44721719,0.046633195,low
44721721,0.010874242,low
44721804,0.017230233,low
44722323,0.025783876,low
44722325,0.103278734,low
44733863,0.40218726,medium
44733864,0.13727082,low
44733866,0.024083251,low
44733867,0.016074026,low
44733868,0.041584823,low
44733869,0.021562656,low
44734379,0.07115443,low
44734380,0.3253405,medium
44734381,0.0054629655,low
44734382,0.07778792,low
44734383,0.020746829,low
44734384,0.07326515,low
44734385,0.011254436,low
44734387,0.006236316,low
44734389,0.2959522,low
44734593,0.020302057,low
44734594,0.004799281,low
44734595,0.015438057,low
44734596,0.01163941,low
44736736,0.013634508,low
44736737,0.05249526,low
44736738,0.54476964,medium
44736739,0.44555607,medium
44736741,0.342249,medium
44736742,0.5232043,medium
44736743,0.51264167,medium
44736940,0.02399696,low
44736947,0.07470027,low
44768595,0.6476883,medium
44768597,0.9086398,high
44768600,0.6870335,medium
44768708,0.8029265,high
44768992,0.17168838,low
44768993,0.41387692,medium
44768994,0.7558642,high
44768995,0.7439201,high
44768996,0.13419242,low
44768997,0.6663248,medium
44768999,0.1206952,low
44769003,0.3959039,medium
44769004,0.79687226,high
44769125,0.6095495,medium
44769127,0.043914117,low
44769128,0.117967665,low
44769129,0.13039215,low
44769130,0.13111587,low
44769131,0.1404699,low
44769326,0.18581708,low
44769327,0.24989907,low
44769328,0.07722341,low
44769330,0.21612266,low
44769333,0.05287272,low
44769338,0.13919139,low
44769339,0.15447444,low
44769340,0.18522218,low
44769565,0.04657196,low
44769567,0.06718281,low
44769568,0.029834837,low
44769769,0.041667655,low
44769770,0.115864776,low
44769771,0.047428448,low
44769772,0.15453261,low
44769773,0.013177244,low
44769774,0.015706863,low
44769775,0.07029367,low
44769776,0.0037169715,low
44769777,0.0038015624,low
44769778,0.0051510907,low
44769780,0.32003015,medium
44848664,0.7511806,high
44848699,0.6199285,medium
44848701,0.7649215,high
44848704,0.7386044,high
44848705,0.8205568,high
44848706,0.6311035,medium
44848708,0.7133391,high
44848709,0.90774494,high
44848710,0.885569,high
44848711,0.89011115,high
44848714,0.77436745,high
44848715,0.8607251,high
44848719,0.857855,high
44848721,0.7987108,high
44848722,0.5544344,medium
44848724,0.90016896,high
44848725,0.88679695,high
44848726,0.7579483,high
44848730,0.7361604,high
44848731,0.7370332,high
